Trajectories,,,,,,,,,,,,,,,,,,,,,,
200,,,,,,,,,,,,,,,,,,,,,,
,,5 Marker Wand & L-Frame:Top2,,,5 Marker Wand & L-Frame:Top3,,,5 Marker Wand & L-Frame:Mid,,,5 Marker Wand & L-Frame:Bottom2,,,5 Marker Wand & L-Frame:Bottom3,,,| 5 Marker Wand & L-Frame:Top2 |,| 5 Marker Wand & L-Frame:Top3 |,| 5 Marker Wand & L-Frame:Mid |,| 5 Marker Wand & L-Frame:Bottom2 |,| 5 Marker Wand & L-Frame:Bottom3 |,Trajectory Count
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Count
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,
92,0,-105.308,515.031,868.028,-381.93,351.018,871.564,-389.113,356.14,672.31,-126.879,537.589,268.469,-402.19,371.551,269.519,1014.8,1014.25,854.544,614.147,610.285,5
93,0,-105.314,515.113,868.045,-381.91,351.036,871.591,-389.091,356.162,672.31,-126.875,537.587,268.476,-402.179,371.58,269.54,1014.86,1014.27,854.543,614.147,610.305,5
94,0,-105.29,515.146,868.02,-381.915,351.062,871.573,-389.079,356.205,672.334,-126.886,537.596,268.454,-402.164,371.566,269.546,1014.85,1014.27,854.574,614.147,610.289,5
95,0,-105.245,515.203,868.02,-381.885,351.091,871.582,-389.072,356.198,672.334,-126.862,537.628,268.451,-402.173,371.578,269.566,1014.87,1014.28,854.568,614.169,610.311,5
96,0,-105.216,515.266,868.014,-381.86,351.163,871.601,-389.019,356.256,672.396,-126.861,537.668,268.41,-402.134,371.611,269.548,1014.9,1014.31,854.617,614.186,610.297,5
97,0,-105.224,515.304,868.009,-381.836,351.188,871.606,-389.04,356.261,672.379,-126.888,537.678,268.417,-402.136,371.617,269.557,1014.91,1014.31,854.616,614.203,610.306,5
98,0,-105.217,515.35,867.998,-381.811,351.239,871.64,-389.046,356.268,672.369,-126.889,537.676,268.417,-402.104,371.62,269.574,1014.93,1014.35,854.613,614.202,610.294,5
99,0,-105.216,515.379,867.984,-381.826,351.267,871.604,-389.009,356.333,672.375,-126.9,537.685,268.421,-402.132,371.625,269.581,1014.93,1014.33,854.628,614.214,610.319,5
100,0,-105.204,515.42,868.008,-381.803,351.29,871.594,-389.014,356.334,672.386,-126.864,537.697,268.391,-402.133,371.626,269.573,1014.97,1014.32,854.639,614.204,610.317,5
101,0,-105.188,515.445,868.012,-381.81,351.299,871.605,-389.011,356.335,672.368,-126.895,537.704,268.399,-402.103,371.618,269.577,1014.98,1014.34,854.624,614.22,610.294,5
